"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
3.513894860E-1,-8.696937561E-1,-2.873041928E-1,9.731831551E0
3.533974030E-1,-9.175778031E-1,-2.681505978E-1,9.750985146E0
3.554107360E-1,-9.080010056E-1,-2.633621991E-1,9.798869133E0
3.574116740E-1,-8.649053574E-1,-2.585737705E-1,9.808445930E0
3.594127680E-1,-8.696937561E-1,-2.777273953E-1,9.803657532E0
3.614141740E-1,-8.696937561E-1,-2.920926213E-1,9.755773544E0
3.634160490E-1,-8.744821548E-1,-2.920926213E-1,9.798869133E0
3.654185490E-1,-8.984242082E-1,-3.208230138E-1,9.846753120E0
3.674217780E-1,-8.984242082E-1,-3.303998411E-1,9.851541519E0
3.694257890E-1,-8.601169586E-1,-3.208230138E-1,9.789292336E0
3.714305800E-1,-8.649053574E-1,-3.447650373E-1,9.741408348E0
3.734365180E-1,-9.367313981E-1,-3.687070608E-1,9.803657532E0
3.754424550E-1,-8.936358094E-1,-3.974374831E-1,9.813234329E0
3.774491220E-1,-8.122329116E-1,-3.591302633E-1,9.803657532E0
3.794564140E-1,-8.649053574E-1,-4.357447028E-1,9.755773544E0
3.814642780E-1,-8.313865662E-1,-4.309563041E-1,9.731831551E0
3.834725590E-1,-8.457517624E-1,-4.357447028E-1,9.736619949E0
3.854811530E-1,-8.505401611E-1,-4.884171486E-1,9.856329918E0
3.874899030E-1,-9.080010056E-1,-5.363011956E-1,9.827599525E0
3.894987050E-1,-8.361749649E-1,-5.698199868E-1,9.707889557E0
3.915059450E-1,-8.265981078E-1,-5.746083856E-1,9.674370766E0
3.935114660E-1,-8.649053574E-1,-5.602431893E-1,9.755773544E0
3.955142780E-1,-8.840589523E-1,-6.033388376E-1,9.707889557E0
3.975172990E-1,-8.505401611E-1,-5.171475410E-1,9.669582367E0
3.995205800E-1,-8.170213103E-1,-5.458779931E-1,9.655217171E0
4.015242260E-1,-7.260416746E-1,-4.070142806E-1,9.717466354E0
4.035282890E-1,-1.094748735E0,-6.895300746E-1,9.707889557E0
4.055328200E-1,-1.080383539E0,-3.974374831E-1,9.607333183E0
