"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
5.539425070E-1,2.396843163E-3,-9.321057005E-4,3.994738800E-4
5.559484970E-1,2.663159103E-4,-9.321057005E-4,-6.657897611E-4
5.579549030E-1,2.396843163E-3,-1.997369342E-3,3.994738800E-4
5.599616740E-1,1.331579522E-3,-1.997369342E-3,-1.731053460E-3
5.619687570E-1,-7.989477599E-4,-4.127896391E-3,-6.657897611E-4
5.639770390E-1,-7.989477599E-4,-1.997369342E-3,1.464737463E-3
5.659806840E-1,2.396843163E-3,-9.321057005E-4,-6.657897611E-4
5.679846950E-1,2.396843163E-3,1.331579551E-4,-6.657897611E-4
5.699891220E-1,2.663159103E-4,1.198421582E-3,3.994738800E-4
5.719939660E-1,2.663159103E-4,1.331579551E-4,-6.657897611E-4
5.739992260E-1,2.396843163E-3,1.331579551E-4,3.994738800E-4
5.760049030E-1,2.663159103E-4,-1.997369342E-3,-1.731053460E-3
5.780109970E-1,1.331579522E-3,-1.997369342E-3,-6.657897611E-4
5.800174550E-1,2.663159103E-4,-9.321057005E-4,-6.657897611E-4
5.820242260E-1,3.462106921E-3,1.331579551E-4,-6.657897611E-4
5.840309970E-1,3.462106921E-3,-9.321057005E-4,1.464737463E-3
5.860379760E-1,2.396843163E-3,-9.321057005E-4,-6.657897611E-4
5.880451110E-1,3.462106921E-3,-9.321057005E-4,-1.731053460E-3
5.900522990E-1,2.396843163E-3,-9.321057005E-4,-6.657897611E-4
5.920649030E-1,2.396843163E-3,-1.997369342E-3,-6.657897611E-4
5.940658930E-1,2.663159103E-4,-1.997369342E-3,-1.731053460E-3
5.960670390E-1,1.331579522E-3,-3.062632866E-3,-6.657897611E-4
5.980684970E-1,1.331579522E-3,-9.321057005E-4,-6.657897611E-4
6.000704240E-1,3.462106921E-3,-9.321057005E-4,3.994738800E-4
6.020729760E-1,2.396843163E-3,-1.997369342E-3,-6.657897611E-4
6.040762050E-1,2.663159103E-4,-1.997369342E-3,-6.657897611E-4
6.060802160E-1,2.663159103E-4,-4.127896391E-3,3.994738800E-4
6.080850070E-1,2.396843163E-3,-3.062632866E-3,3.994738800E-4
6.100905800E-1,3.462106921E-3,-4.127896391E-3,3.994738800E-4
6.120969340E-1,2.396843163E-3,-4.127896391E-3,2.530001104E-3
6.141039660E-1,1.331579522E-3,-1.997369342E-3,1.464737463E-3
6.161116220E-1,2.396843163E-3,-4.127896391E-3,2.530001104E-3
6.181197990E-1,1.331579522E-3,-4.127896391E-3,-6.657897611E-4
6.201283410E-1,1.331579522E-3,-3.062632866E-3,-6.657897611E-4
6.221368820E-1,1.331579522E-3,-4.127896391E-3,3.994738800E-4
6.241455280E-1,2.663159103E-4,-5.193160381E-3,3.994738800E-4
6.261514660E-1,-7.989477599E-4,-1.997369342E-3,3.994738800E-4
6.281575070E-1,2.396843163E-3,-5.193160381E-3,2.530001104E-3
6.301636010E-1,1.331579522E-3,-4.127896391E-3,1.464737463E-3
6.321697470E-1,1.331579522E-3,-1.997369342E-3,3.994738800E-4
6.341813090E-1,1.331579522E-3,-1.997369342E-3,3.994738800E-4
6.361822990E-1,-1.864211401E-3,-1.997369342E-3,3.994738800E-4
6.381834450E-1,1.331579522E-3,-5.193160381E-3,3.994738800E-4
6.401849030E-1,-7.989477599E-4,-5.193160381E-3,3.994738800E-4
6.421868300E-1,2.663159103E-4,-5.193160381E-3,1.464737463E-3
6.441893820E-1,2.663159103E-4,-3.062632866E-3,1.464737463E-3
6.461926110E-1,-7.989477599E-4,-4.127896391E-3,1.464737463E-3
6.481966220E-1,-1.864211401E-3,-3.062632866E-3,2.530001104E-3
6.502014140E-1,2.396843163E-3,-3.062632866E-3,1.464737463E-3
6.522069860E-1,1.331579522E-3,-3.062632866E-3,-6.657897611E-4
6.542133410E-1,2.663159103E-4,-3.062632866E-3,3.994738800E-4
6.562203720E-1,1.331579522E-3,-1.997369342E-3,1.464737463E-3
6.582280280E-1,1.331579522E-3,-3.062632866E-3,3.595264861E-3
6.602362050E-1,2.663159103E-4,-9.321057005E-4,1.464737463E-3
6.622447470E-1,2.663159103E-4,-1.997369342E-3,-1.731053460E-3
6.642535490E-1,3.462106921E-3,-4.127896391E-3,1.464737463E-3
6.662624550E-1,1.331579522E-3,-9.321057005E-4,1.464737463E-3
6.682709970E-1,1.331579522E-3,-1.997369342E-3,-6.657897611E-4
6.702765700E-1,1.331579522E-3,-1.997369342E-3,3.994738800E-4
6.722820910E-1,2.663159103E-4,-1.997369342E-3,3.994738800E-4
6.742849030E-1,2.663159103E-4,-1.997369342E-3,3.994738800E-4
6.762879240E-1,1.331579522E-3,-9.321057005E-4,1.464737463E-3
